Date,Product,Category,Quantity,Price
2025-01-02,Mouse,Electronics,3,59.90
2025-01-03,Keyboard,Electronics,2,129.90
2025-01-04,Monitor 24",Electronics,1,899.90
2025-01-05,Notebook Stand,Accessories,4,89.90
2025-01-06,USB Cable,Accessories,10,19.90
2025-01-07,Headset,Electronics,2,249.90
2025-01-08,Mouse,Electronics,5,59.90
2025-01-09,Webcam,Electronics,2,299.90
2025-01-10,USB Cable,Accessories,7,19.90
2025-01-11,Laptop Sleeve,Accessories,3,79.90
2025-01-12,Keyboard,Electronics,1,129.90
2025-01-13,Monitor 24",Electronics,2,899.90
2025-01-14,Desk Lamp,Furniture,4,149.90
2025-01-15,Office Chair,Furniture,1,1199.90
2025-01-16,Mouse Pad,Accessories,6,39.90
2025-01-17,Headset,Electronics,3,249.90
2025-01-18,USB Hub,Accessories,2,99.90
2025-01-19,Mouse,Electronics,4,59.90
2025-01-20,Notebook Stand,Accessories,2,89.90
2025-01-21,Desk Lamp,Furniture,2,149.90
2025-01-22,Keyboard,Electronics,3,129.90
2025-01-23,Webcam,Electronics,1,299.90
2025-01-24,USB Cable,Accessories,12,19.90
2025-01-25,Monitor 24",Electronics,1,899.90
2025-01-26,Office Chair,Furniture,2,1199.90
2025-01-27,Laptop Sleeve,Accessories,4,79.90
2025-01-28,Mouse Pad,Accessories,8,39.90
2025-01-29,USB Hub,Accessories,3,99.90
2025-01-30,Headset,Electronics,1,249.90
2025-01-31,Mouse,Electronics,6,59.90
